Date,US_Bond_Index,US_Bond_Daily_Pct,US_Bond_30D_Return_Pct,US_Bond_30D_Ann_Vol_Pct,US_Bond_Drawdown_Pct,Corporate_Bond_Index,Corporate_Bond_Daily_Pct,Corporate_Bond_30D_Return_Pct,Corporate_Bond_30D_Ann_Vol_Pct,Corporate_Bond_Drawdown_Pct,PPF_Value,PPF_Daily_Pct,PPF_30D_Return_Pct,PPF_30D_Ann_Vol_Pct,PPF_Drawdown_Pct,FD_Value,FD_Daily_Pct,FD_30D_Return_Pct,FD_30D_Ann_Vol_Pct,FD_Drawdown_Pct
2025-02-18,110.0,0.0,0.0,,0.0,95.0,0.0,0.0,,0.0,100.0,0.0,0.0,,0.0,100.0,0.0,0.0,,0.0
2025-02-19,110.18,0.1636,0.0,1.8368,0.0,95.53,0.5579,0.0,6.2624,0.0,100.02,0.02,0.0,0.2245,0.0,100.01,0.01,0.0,0.1122,0.0
2025-02-20,109.86,-0.2904,0.0,3.6506,-0.2904,95.35,-0.1884,0.0,6.1609,-0.1884,100.04,0.02,0.0,0.1833,0.0,100.02,0.01,0.0,0.0916,0.0
2025-02-21,109.71,-0.1365,0.0,3.0732,-0.4266,95.61,0.2727,0.0,5.1685,0.0,100.06,0.02,0.0,0.1587,0.0,100.03,0.01,0.0,0.0794,0.0
2025-02-22,109.7,-0.0091,0.0,2.6918,-0.4357,95.78,0.1778,0.0,4.4777,0.0,100.07,0.01,0.0,0.142,0.0,100.04,0.01,0.0,0.071,0.0
2025-02-23,110.2,0.4558,0.0,4.0905,0.0,95.66,-0.1253,0.0,4.4221,-0.1253,100.09,0.02,0.0,0.1328,0.0,100.05,0.01,0.0,0.0648,0.0
2025-02-24,110.53,0.2995,0.0,4.0678,0.0,95.61,-0.0523,0.0,4.1608,-0.1775,100.11,0.02,0.0,0.1248,0.0,100.06,0.01,0.0,0.06,0.0
2025-02-25,110.49,-0.0362,0.0,3.812,-0.0362,95.94,0.3452,0.0,4.1063,0.0,100.13,0.02,0.0,0.118,0.0,100.08,0.02,0.0,0.0848,0.0
2025-02-26,110.68,0.172,0.0,3.6184,0.0,95.47,-0.4899,0.0,5.0286,-0.4899,100.15,0.02,0.0,0.1122,0.0,100.09,0.01,0.0,0.0793,0.0
2025-02-27,110.74,0.0542,0.0,3.4122,0.0,95.73,0.2723,0.0,4.8646,-0.2189,100.17,0.02,0.0,0.1071,0.0,100.1,0.01,0.0,0.0748,0.0
2025-02-28,110.5,-0.2167,0.0,3.5109,-0.2167,96.11,0.3969,0.0,4.8624,0.0,100.19,0.02,0.0,0.1026,0.0,100.11,0.01,0.0,0.071,0.0
2025-03-01,110.32,-0.1629,0.0,3.4761,-0.3793,95.93,-0.1873,0.0,4.8271,-0.1873,100.2,0.01,0.0,0.1033,0.0,100.12,0.01,0.0,0.0676,0.0
2025-03-02,110.09,-0.2085,0.0,3.4825,-0.587,96.38,0.4691,0.0,4.9264,0.0,100.22,0.02,0.0,0.1,0.0,100.13,0.01,0.0,0.0648,0.0
2025-03-03,110.07,-0.0182,0.0,3.3475,-0.605,96.64,0.2698,0.0,4.7805,0.0,100.24,0.02,0.0,0.0969,0.0,100.14,0.01,0.0,0.0622,0.0
2025-03-04,110.12,0.0454,0.0,3.23,-0.5599,96.98,0.3518,0.0,4.7013,0.0,100.26,0.02,0.0,0.0941,0.0,100.15,0.01,0.0,0.06,0.0
2025-03-05,109.72,-0.3632,0.0,3.4499,-0.9211,96.96,-0.0206,0.0,4.5854,-0.0206,100.28,0.0199,0.0,0.0915,0.0,100.16,0.01,0.0,0.0579,0.0
