Date,Gold_Price_USD,Silver_Price_USD,Gold_Daily_Pct,Gold_30D_Return_Pct,Gold_30D_Ann_Vol_Pct,Gold_Drawdown_Pct,Silver_Daily_Pct,Silver_30D_Return_Pct,Silver_30D_Ann_Vol_Pct,Silver_Drawdown_Pct
2025-02-18,2200.0,28.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2025-02-19,2210.41,28.64,0.4732,0.0,,0.0,2.2857,0.0,,0.0
2025-02-20,2190.76,28.4,-0.889,0.0,,-0.889,-0.838,0.0,,-0.838
2025-02-21,2181.88,28.72,-0.4053,0.0,,-1.2907,1.1268,0.0,,0.0
2025-02-22,2180.73,28.93,-0.0527,0.0,,-1.3427,0.7312,0.0,,0.0
2025-02-23,2210.58,28.77,1.3688,0.0,,0.0,-0.5531,0.0,,-0.5531
2025-02-24,2230.26,28.69,0.8903,0.0,,0.0,-0.2781,0.0,,-0.8296
2025-02-25,2227.59,29.1,-0.1197,0.0,,-0.1197,1.4291,0.0,,0.0
2025-02-26,2238.54,28.49,0.4916,0.0,,0.0,-2.0962,0.0,,-2.0962
2025-02-27,2241.67,28.8,0.1398,0.0,,0.0,1.0881,0.0,,-1.0309
2025-02-28,2227.29,29.28,-0.6415,0.0,,-0.6415,1.6667,0.0,,0.0
2025-03-01,2215.97,29.03,-0.5082,0.0,,-1.1465,-0.8538,0.0,,-0.8538
2025-03-02,2201.59,29.6,-0.6489,0.0,,-1.788,1.9635,0.0,,0.0
2025-03-03,2200.6,29.91,-0.045,0.0,,-1.8321,1.0473,0.0,,0.0
2025-03-04,2203.03,30.34,0.1104,0.0,,-1.7237,1.4376,0.0,,0.0
2025-03-05,2178.64,30.31,-1.1071,0.0,,-2.8117,-0.0989,0.0,,-0.0989
2025-03-06,2193.48,29.9,0.6812,0.0,,-2.1497,-1.3527,0.0,,-1.4502
2025-03-07,2194.22,29.76,0.0337,0.0,,-2.1167,-0.4682,0.0,,-1.9117
2025-03-08,2192.2,28.89,-0.0921,0.0,,-2.2068,-2.9234,0.0,,-4.7792
2025-03-09,2187.92,28.58,-0.1952,0.0,,-2.3978,-1.073,0.0,,-5.8009
2025-03-10,2210.11,28.83,1.0142,0.0,,-1.4079,0.8747,0.0,,-4.9769
2025-03-11,2207.72,28.51,-0.1081,0.0,,-1.5145,-1.11,0.0,,-6.0316
2025-03-12,2205.44,28.66,-0.1033,0.0,,-1.6162,0.5261,0.0,,-5.5372
2025-03-13,2215.65,29.43,0.4629,0.0,,-1.1607,2.6867,0.0,,-2.9993
2025-03-14,2215.88,29.22,0.0104,0.0,,-1.1505,-0.7136,0.0,,-3.6915
2025-03-15,2227.03,29.35,0.5032,0.0,,-0.6531,0.4449,0.0,,-3.263
2025-03-16,2228.49,28.77,0.0656,0.0,,-0.588,-1.9761,0.0,,-5.1747
2025-03-17,2229.65,29.12,0.0521,0.0,,-0.5362,1.2165,0.0,,-4.0211
2025-03-18,2246.77,29.48,0.7678,0.0,,0.0,1.2363,0.0,,-2.8345
2025-03-19,2246.14,29.23,-0.028,0.0,8.8098,-0.028,-0.848,0.0,21.8914,-3.6585
2025-03-20,2233.71,28.87,-0.5534,1.5323,8.9925,-0.5813,-1.2316,3.1071,22.254,-4.8451
2025-03-21,2216.35,28.7,-0.7772,0.2687,9.2114,-1.3539,-0.5888,0.2095,21.355,-5.4054
2025-03-22,2217.38,28.24,0.0465,1.2151,8.8077,-1.3081,-1.6028,-0.5634,21.7324,-6.9216
2025-03-23,2204.2,28.44,-0.5944,1.023,8.9076,-1.8947,0.7082,-0.9749,21.5755,-6.2624
2025-03-24,2214.82,28.84,0.4818,1.5632,8.9959,-1.422,1.4065,-0.3111,21.8676,-4.944
2025-03-25,2218.93,28.88,0.1856,0.3777,8.1015,-1.2391,0.1387,0.3823,21.8077,-4.8121
2025-03-26,2214.85,28.21,-0.1839,-0.691,7.6789,-1.4207,-2.3199,-1.6731,22.8307,-7.0204
2025-03-27,2206.0,28.81,-0.3996,-0.9692,7.7523,-1.8146,2.1269,-0.9966,23.3071,-5.0428
2025-03-28,2205.23,28.99,-0.0349,-1.488,7.5922,-1.8489,0.6248,1.755,22.5249,-4.4496
2025-03-29,2213.68,29.08,0.3832,-1.2486,7.6771,-1.4728,0.3105,0.9722,22.3307,-4.1529
2025-03-30,2225.88,28.47,0.5511,-0.0633,7.6442,-0.9298,-2.0977,-2.7664,22.614,-6.1635
2025-03-31,2209.48,28.43,-0.7368,-0.2929,7.803,-1.6597,-0.1405,-2.0668,22.4971,-6.2953
2025-04-01,2236.27,28.45,1.2125,1.5752,8.3233,-0.4673,0.0703,-3.8851,21.6715,-6.2294
2025-04-02,2227.47,28.49,-0.3935,1.221,8.4199,-0.859,0.1406,-4.7476,21.4037,-6.0976
2025-04-03,2211.22,28.71,-0.7295,0.3718,8.7074,-1.5823,0.7722,-5.3724,21.058,-5.3724
2025-04-04,2233.13,28.39,0.9909,2.5011,8.4806,-0.6071,-1.1146,-6.3345,21.231,-6.4272
2025-04-05,2250.5,28.22,0.7778,2.5995,8.5442,0.0,-0.5988,-5.6187,20.9892,-6.9875
2025-04-06,2264.01,27.94,0.6003,3.1806,8.6704,0.0,-0.9922,-6.1156,21.1055,-7.9103
2025-04-07,2254.67,27.86,-0.4125,2.8496,8.783,-0.4125,-0.2863,-3.5652,19.4708,-8.174
2025-04-08,2270.11,27.2,0.6848,3.7565,8.8997,0.0,-2.369,-4.8286,20.3673,-10.3494
2025-04-09,2268.79,27.54,-0.0581,2.6551,8.5019,-0.0581,1.25,-4.4745,20.5606,-9.2287
2025-04-10,2249.26,27.72,-0.8608,1.8816,8.9229,-0.9185,0.6536,-2.771,20.4761,-8.6355
2025-04-11,2240.04,27.99,-0.4099,1.5688,9.0165,-1.3246,0.974,-2.3378,20.6329,-7.7456
2025-04-12,2222.59,27.93,-0.779,0.3132,9.242,-2.0933,-0.2144,-5.0968,18.9048,-7.9433
2025-04-13,2235.46,28.04,0.5791,0.8836,9.387,-1.5264,0.3938,-4.0383,18.8992,-7.5808
2025-04-14,2252.24,27.86,0.7506,1.132,9.5215,-0.7872,-0.6419,-5.0767,18.8742,-8.174
2025-04-15,2237.83,28.44,-0.6398,0.4191,9.722,-1.422,2.0818,-1.147,19.1559,-6.2624
2025-04-16,2235.87,27.98,-0.0876,0.279,9.7259,-1.5083,-1.6174,-3.9148,19.3118,-7.7785
2025-04-17,2241.66,27.48,0.259,-0.2274,9.4908,-1.2532,-1.787,-6.7843,19.4462,-9.4265
2025-04-18,2225.54,27.43,-0.7191,-0.9171,9.7136,-1.9633,-0.182,-6.1581,19.3569,-9.5913
2025-04-19,2238.91,27.5,0.6008,0.2328,9.7479,-1.3744,0.2552,-4.7454,19.1498,-9.3606
2025-04-20,2225.07,28.35,-0.6182,0.3934,9.6468,-1.984,3.0909,-1.2195,21.2768,-6.559
2025-04-21,2205.95,28.75,-0.8593,-0.5155,9.9727,-2.8263,1.4109,1.8059,21.1361,-5.2406
2025-04-22,2194.49,28.95,-0.5195,-0.4405,9.9372,-3.3311,0.6957,1.7932,21.1328,-4.5814
2025-04-23,2189.61,28.62,-0.2224,-1.1382,9.8417,-3.5461,-1.1399,-0.7628,21.0195,-5.6691
2025-04-24,2178.05,28.26,-0.5279,-1.8423,9.9189,-4.0553,-1.2579,-2.1468,21.3172,-6.8556
2025-04-25,2194.85,27.9,0.7713,-0.903,10.1977,-3.3153,-1.2739,-1.0989,20.5571,-8.0422
2025-04-26,2195.11,28.18,0.0118,-0.4937,10.1371,-3.3038,1.0036,-2.1867,19.7766,-7.1193
2025-04-27,2175.75,28.53,-0.882,-1.3368,10.4445,-4.1566,1.242,-1.5868,20.0431,-5.9657
2025-04-28,2180.68,28.86,0.2266,-1.4907,10.3988,-3.9395,1.1567,-0.7565,20.3218,-4.878
2025-04-29,2161.35,28.5,-0.8864,-2.8991,10.5131,-4.791,-1.2474,0.1054,19.7056,-6.0646
2025-04-30,2182.47,27.97,0.9772,-1.2225,10.7755,-3.8606,-1.8596,-1.618,20.4367,-7.8115
2025-05-01,2166.29,28.0,-0.7414,-3.1293,10.2806,-4.5733,0.1073,-1.5817,20.4388,-7.7126
2025-05-02,2160.47,28.18,-0.2687,-3.0079,10.2563,-4.8297,0.6429,-1.0881,20.5301,-7.1193
2025-05-03,2163.3,28.25,0.131,-2.1671,10.0992,-4.7051,0.2484,-1.6022,20.4084,-6.8886
2025-05-04,2152.98,28.54,-0.477,-3.5891,9.6438,-5.1597,1.0265,0.5284,20.3775,-5.9328
2025-05-05,2139.93,28.85,-0.6061,-4.9131,9.354,-5.7345,1.0862,2.2325,20.5136,-4.911
2025-05-06,2143.56,29.33,0.1696,-5.3202,9.128,-5.5746,1.6638,4.9749,20.7484,-3.3289
2025-05-07,2122.87,29.63,-0.9652,-5.8456,9.3869,-6.486,1.0228,6.3532,20.8448,-2.3401
2025-05-08,2137.01,29.01,0.6661,-5.8632,9.3718,-5.8632,-2.0925,6.6544,20.5605,-4.3837
2025-05-09,2119.96,28.75,-0.7978,-6.5599,9.5189,-6.6142,-0.8962,4.3936,20.57,-5.2406
2025-05-10,2103.54,28.67,-0.7745,-6.4786,9.4719,-7.3375,-0.2783,3.4271,20.5496,-5.5043
2025-05-11,2101.85,29.37,-0.0803,-6.1691,9.463,-7.412,2.4416,4.9303,21.4976,-3.1971
2025-05-12,2073.08,29.1,-1.3688,-6.7268,9.9146,-8.6793,-0.9193,4.189,21.7031,-4.087
2025-05-13,2073.07,28.98,-0.0005,-7.2643,9.6422,-8.6798,-0.4124,3.3524,21.7488,-4.4825
2025-05-14,2063.81,28.9,-0.4467,-8.3663,9.1765,-9.0877,-0.2761,3.733,21.6632,-4.7462
